zoneid,81sas070615,81sas070616,81sas070617,81sas070618,81sas070619,81sas070620,81sas070621,81sas070622,81sas070623,81sas070624,81sas070625,81sas070626,81sas070627,81sas070628,81sas070629,81sas070630,81sas070631,81sas070632,81sas070633,81sas070634,81sas070635,81sas070636,81sas070637,81sas070638,81sas070639,81sas070640,81sas070641
29        ,26063,5613,10870,1068,260,37,7000,785,1557,13088,4228,7914,3007,217,685,1900,123,677,21156,5273,9508,20413,4141,3858,743,1132,5650
30        ,378019,76165,158088,15399,3444,709,123138,11476,25385,189988,58452,122095,31199,1865,5681,18295,928,4218,328525,73372,148189,320575,61443,68786,7950,11929,79403
31        ,333897,73745,159455,15437,3617,768,88004,9582,22691,182734,57522,121628,29106,2056,8670,18616,968,5698,286175,70721,145087,278707,59191,74844,7468,11530,70243
32        ,224963,45689,105355,9998,2299,596,61812,5820,13661,126050,36276,85516,16477,864,3328,10626,430,2254,197860,44395,99773,192836,37992,50036,5024,6403,49737
33        ,142782,24810,58079,5935,1404,301,36103,3178,7955,77168,19145,45321,13495,629,2464,10081,454,2038,119206,23727,53577,115889,19819,24655,3317,3908,28922
34        ,175170,33700,73204,6247,1619,330,45873,4408,9834,93983,26255,57975,18163,890,2923,10904,528,2142,146103,32282,68139,141972,26982,29099,4131,5300,39040
35        ,136308,27092,63826,5516,1340,306,38896,3578,9265,74350,21389,51044,11166,501,1953,6380,284,1258,118762,26307,60615,115773,22325,29008,2989,3982,31607
36        ,75984,14069,33368,3635,761,184,20983,1924,5127,42272,10915,26179,4507,270,919,4587,199,959,66890,13600,31490,65699,11509,15121,1191,2091,16369
37        ,175029,35737,72917,9567,1902,460,48225,5083,10519,86371,26956,55361,17429,1127,3527,13437,669,3050,144163,33941,66340,140344,27673,26527,3819,6268,39813
38        ,255753,52565,114578,12055,2677,637,71566,7040,15928,147442,41478,92296,14543,867,3183,10147,503,2534,231063,51195,108861,226548,43875,49331,4515,7320,59530
39        ,141777,30451,61328,5599,1515,273,44305,5070,10116,73205,22754,47313,11527,771,2253,7141,341,1373,123109,29339,57702,119473,24477,26065,3636,4862,31637
40        ,95838,18091,39213,4490,1044,188,23862,2290,5683,51409,13945,30509,9216,536,1562,6861,276,1271,79761,17279,36380,77917,14318,16765,1844,2961,19615
41        ,109411,21387,44742,3910,952,176,27920,2782,6135,57023,16481,34249,12739,829,2387,7819,343,1795,88853,20215,40560,86406,16478,17290,2447,3737,23270
42        ,269198,49139,124868,11134,2762,703,71868,5705,17181,155946,39203,100666,18261,878,3536,11989,591,2782,238948,47670,118550,234579,40927,62374,4369,6743,56176
43        ,158745,28659,64095,6798,1418,321,45367,3734,8715,84511,22398,50989,13562,704,2367,8507,405,1703,136676,27550,60025,132898,23008,24628,3778,4542,35397
44        ,280389,64390,118485,9356,2943,414,113882,12033,22237,116718,46998,88187,24306,1697,4731,16127,719,2916,239956,61974,110838,232993,52664,50632,6963,9310,60206
45        ,128147,23997,56681,5671,1252,265,37627,3432,8838,69561,18467,44251,8412,516,1825,6876,330,1502,112859,23151,53354,110481,19527,25395,2378,3624,27959
46        ,165393,38237,72612,5365,1480,270,58280,6405,12068,76351,28654,55302,16095,1186,2970,9302,512,2002,139996,36539,67640,135156,29903,29216,4840,6636,38424
47        ,140359,26454,59692,5469,1232,273,40682,3603,9010,75439,20711,46981,11716,599,1883,7053,309,1545,121590,25546,56264,118907,21480,26142,2683,4066,30122
48        ,88308,18199,36999,3834,950,161,22373,2442,5794,47991,13984,28166,8518,507,1505,5592,316,1373,74198,17376,34121,72500,14551,16845,1698,2825,17276
49        ,78787,14272,30118,3268,701,118,16891,1647,3966,39930,10627,21426,12861,942,3046,5837,355,1562,60089,12975,25510,58938,10968,13530,1151,2007,11980
50        ,102669,19886,46033,4655,1024,241,26225,2477,6900,61413,15774,36471,6186,379,1350,4190,232,1071,92293,19275,43612,90718,16317,22368,1575,2958,21244
51        ,50453,10676,18999,2019,512,99,11591,1382,2652,25651,7956,13786,7152,515,1337,4040,311,1125,39261,9850,16537,38156,8130,7886,1105,1720,8651
52        ,121166,22692,54903,5501,1204,307,30212,2579,7775,75437,18238,44045,5818,423,1639,4198,248,1137,111150,22021,52127,109754,18864,29284,1396,3157,22843
53        ,28768,5032,10584,929,200,34,5369,600,1406,12926,3737,7595,6837,363,1004,2707,132,545,19224,4537,9035,18622,3755,4614,602,782,4421
54        ,90509,23286,40299,3974,1078,135,28330,3885,6720,48225,17773,31467,5611,349,1019,4369,201,958,80529,22736,38322,78584,19260,17293,1945,3476,21029
55        ,84256,17295,38110,4592,776,199,21553,2235,5595,50398,13764,30346,4506,315,1096,3207,205,874,76543,16775,36140,75142,14131,18687,1401,2644,17453
56        ,25504,5810,11650,1241,384,54,6027,710,1283,13945,4465,9543,1814,119,329,2477,132,441,21213,5559,10880,20507,4578,4863,706,981,6017
57        ,67016,14481,30758,3712,906,158,18997,1988,4539,38694,11268,24939,2802,162,543,2811,157,579,61403,14162,29636,60312,12365,16057,1091,1797,13579
58        ,36305,7846,14934,1756,440,53,7573,960,1962,20372,6040,11818,3062,216,496,3542,190,605,29701,7440,13833,28886,6191,6576,815,1249,7257
59        ,82497,17079,36819,4816,1086,214,23261,2249,5380,47805,13340,29843,3121,213,661,3494,191,721,75882,16675,35437,74675,14505,19226,1207,2170,16211
60        ,127912,28735,51013,6778,1613,230,34915,4119,6856,69544,22160,41469,8749,468,1170,7926,375,1288,111237,27892,48555,108537,23977,21709,2700,3915,26846
61        ,49380,10157,17260,2449,569,68,12219,1403,2533,27315,7730,13320,4084,276,679,3313,179,660,41983,9702,15921,41012,8219,7686,971,1483,8235
62        ,185360,52768,88931,9413,2980,405,56106,9106,13762,103981,39587,71727,7886,639,1547,7974,456,1490,169500,51673,85894,165733,44285,42010,3767,7388,43884
63        ,549802,147951,246650,32885,9042,1321,145248,21651,37030,325141,114497,200162,23687,1509,4193,22841,1252,3944,503274,145190,238513,494788,128816,130168,8486,16374,108345
64        ,93549,23074,43829,5211,1422,228,24729,3465,6246,52949,17560,35391,5059,307,943,5601,320,1021,82889,22447,41865,80796,19189,21465,2093,3258,20400
65        ,18662,3859,6080,810,137,21,4063,459,666,9440,3072,4848,3003,141,334,1346,50,211,14313,3668,5535,13849,3033,2445,464,635,3090
