zoneid,81sas070615,81sas070616,81sas070617,81sas070618,81sas070619,81sas070620,81sas070621,81sas070622,81sas070623,81sas070624,81sas070625,81sas070626,81sas070627,81sas070628,81sas070629,81sas070630,81sas070631,81sas070632,81sas070633,81sas070634,81sas070635,81sas070636,81sas070637,81sas070638,81sas070639,81sas070640,81sas070641
01        ,623763,259456,235410,24740,11540,1587,153280,47687,36183,362871,189479,185204,59599,8838,9085,23273,1912,3351,540891,248706,222974,522914,218635,129408,17977,30071,93566
02        ,1152122,314298,491480,41840,11986,2296,373653,56757,82869,581482,236942,382979,103799,6505,15310,51348,2108,8026,996975,305685,468144,971271,267546,244955,25704,38139,223189
03        ,635472,151118,301720,29611,7338,1417,166042,19601,42078,371720,120261,242100,42258,2677,9551,25841,1241,6574,567373,147200,285595,555124,124356,143029,12249,22844,142566
04        ,339252,92570,155238,15519,4371,640,89595,13328,22124,204351,72960,126432,17455,1155,3256,12332,756,2786,309465,90659,149196,303192,76751,65914,6273,13908,83282
05        ,320998,64511,146139,19607,3891,1209,79101,8075,19744,196802,51089,118880,15131,905,3415,10357,551,2891,295510,63055,139833,290175,52960,61165,5335,10095,78668
06        ,266089,65106,124156,14986,3370,720,65999,8492,17213,166907,52203,101847,9788,583,2327,8409,458,2049,247892,64065,119780,243869,54620,54417,4023,9445,65363
07        ,643953,146865,293650,31044,8209,1539,161058,19656,38572,396143,116103,242531,34392,1916,6673,21316,981,4335,588245,143968,282642,575012,123117,132652,13233,20851,149990
08        ,502807,111789,237211,32193,6357,2685,136801,14535,32392,281311,88103,189453,31257,1764,7285,21245,1030,5396,450305,108995,224530,440270,90958,102621,10035,18037,121909
09        ,236636,54911,102577,10244,2573,443,69934,8540,15101,128570,42052,81473,17583,1222,3217,10305,524,2343,208748,53165,97017,203538,44404,40295,5210,8761,56722
10        ,140206,26674,61600,6349,1353,326,43335,3725,9617,75239,21012,48884,9688,393,1766,5595,191,1007,124923,26090,58827,122438,22767,30489,2485,3323,28338
11        ,194946,41071,84283,7574,1773,364,69424,6866,14206,94231,31329,65731,16157,795,2548,7560,308,1434,171229,39968,80301,167126,34284,38724,4103,5684,41577
12        ,158896,30827,68804,6221,1486,252,58897,4989,11909,71920,23279,52673,13608,759,2541,8250,314,1429,137038,29754,64834,133922,25509,30500,3116,4245,34334
13        ,156143,29844,65753,6401,1597,333,46913,4416,9736,81003,22864,51988,13660,650,2291,8166,317,1405,134317,28877,62057,130843,24533,29100,3474,4344,32957
14        ,239167,47659,107409,10975,2499,456,74384,6337,16742,127581,37426,84215,14155,838,3107,12072,559,2889,212940,46262,101413,208797,38817,47654,4143,7445,53759
15        ,130710,28729,58185,8514,1652,370,34853,3518,8783,79018,23054,46916,4432,308,1055,3893,197,1061,122385,28224,56069,120224,23413,24490,2161,4811,31579
16        ,100351,18404,35831,4432,820,124,23215,2455,5214,47171,13591,25182,16401,1014,3011,9132,524,2300,74818,16866,30520,72568,13731,13738,2250,3135,16782
17        ,124341,25523,51579,6466,1413,244,29388,2947,6920,69306,19891,39814,11179,802,2507,8002,470,2094,105160,24251,46978,102937,20181,20926,2223,4070,26052
18        ,241707,44568,105524,12373,2254,695,63262,5273,14619,140692,35700,84188,15461,865,3375,9919,476,2647,216327,43227,99502,212363,36701,45348,3964,6526,54154
19        ,228038,48216,90728,9078,2324,388,57730,6880,13044,114888,36177,67390,29697,1853,5610,16645,982,4296,181696,45381,80822,176124,36987,34284,5572,8394,46538
20        ,142063,31777,58286,5408,1385,203,41142,4945,8792,68008,23769,43391,17870,1126,3333,9635,552,2567,114558,30099,52386,110511,24374,22175,4047,5725,30211
21        ,143365,29926,66521,7634,1663,435,35234,3630,9775,88424,23945,53136,6498,406,1587,5575,282,1588,131292,29238,63346,129208,25146,32409,2084,4092,30937
22        ,147661,40359,64301,4438,1565,270,44911,7042,10249,68933,29492,48130,19356,1580,3391,10023,680,2261,118282,38099,58649,112990,30440,23933,5292,7659,34716
23        ,394945,76675,166546,13908,3650,683,130112,10906,26011,196519,59806,130929,34806,1525,5202,19600,788,3721,340539,74362,157623,333057,63819,73351,7482,10543,84272
24        ,132260,27826,56695,5388,1299,213,38672,3984,8436,69862,21460,44404,11128,753,2046,7210,330,1596,113922,26743,53053,110985,22200,23827,2937,4543,29226
25        ,399300,78815,165428,19019,3630,772,129346,12253,27412,205358,60408,128420,29321,1682,5131,16256,842,3693,353723,76291,156604,346416,64465,72643,7307,11826,83961
26        ,165799,31947,73806,6209,1513,294,47674,4540,11126,85177,24514,57315,15894,897,2827,10845,483,2244,139060,30567,68735,135560,25312,32301,3500,5255,36434
27        ,272224,56679,121476,10255,2716,453,99021,9399,20729,129694,43122,94769,20838,1001,3425,12416,441,2100,238970,55237,115951,233396,47475,54201,5574,7762,61750
28        ,208405,43421,87334,10183,2293,438,55141,5243,11800,119949,34696,70387,12512,709,2418,10620,480,2291,185273,42232,82625,180712,34208,30498,4561,8024,52127
