zoneid,81sas070615,81sas070616,81sas070617,81sas070618,81sas070619,81sas070620,81sas070621,81sas070622,81sas070623,81sas070624,81sas070625,81sas070626,81sas070627,81sas070628,81sas070629,81sas070630,81sas070631,81sas070632,81sas070633,81sas070634,81sas070635,81sas070636,81sas070637,81sas070638,81sas070639,81sas070640,81sas070641
01AA      ,1837,903,536,76,161,5,857,264,177,597,423,315,146,41,23,161,14,16,1530,848,497,1492,821,378,38,27,119
01AB      ,42673,23042,14192,1550,1355,103,11820,5134,2735,21457,15006,9904,5368,1284,1075,2478,263,375,34827,21495,12742,33265,18886,7811,1562,2609,4931
01AC      ,41980,16167,15817,1693,733,134,7649,2188,1908,27212,12866,13143,4186,312,486,1240,68,146,36554,15787,15185,35138,13658,8864,1416,2129,6321
01AD      ,38215,18824,13437,1561,846,97,10003,3724,2208,21481,13287,10336,3832,845,618,1338,122,178,33045,17857,12641,31871,15852,7556,1174,2005,5085
01AE      ,53071,19397,20868,2163,717,166,13458,3498,3395,29846,14528,16062,5333,539,894,2271,115,351,45467,18743,19623,44084,16619,12093,1383,2124,7530
01AF      ,40547,16919,15569,1529,640,111,8778,2868,2205,24920,12774,12470,4066,535,605,1254,102,178,35227,16282,14786,33850,14201,8712,1377,2081,6074
01AG      ,34175,21104,9286,1290,671,86,11314,4600,1814,15146,13987,6224,4013,1541,872,2412,305,290,27750,19258,8124,26708,17122,5412,1042,2136,2712
01AH      ,62026,26272,24112,2687,1256,151,15393,4817,3923,36752,19393,18960,5373,660,783,1821,146,295,54832,25466,23034,53011,22404,13783,1821,3062,9251
01AJ      ,59296,19975,25808,2325,896,136,15646,3406,4068,34770,15287,20764,4913,304,583,1642,82,257,52741,19589,24968,51272,17143,13300,1469,2446,11668
01AK      ,52286,14304,20617,2259,492,143,9786,1878,2462,35340,11705,17398,3781,179,444,1120,50,170,47385,14075,20003,46441,12482,11551,944,1593,8452
