zoneid,81sas070615,81sas070616,81sas070617,81sas070618,81sas070619,81sas070620,81sas070621,81sas070622,81sas070623,81sas070624,81sas070625,81sas070626,81sas070627,81sas070628,81sas070629,81sas070630,81sas070631,81sas070632,81sas070633,81sas070634,81sas070635,81sas070636,81sas070637,81sas070638,81sas070639,81sas070640,81sas070641
01AL      ,52333,19464,22513,2100,872,130,11376,3096,2982,33486,15102,18656,3972,298,531,1399,96,214,46962,19070,21768,45364,16364,11421,1598,2706,10347
01AM      ,34811,11858,12648,1300,724,64,5426,1661,1274,23791,9258,10966,3397,163,253,897,52,91,30517,11643,12304,29578,10131,6336,939,1512,5968
01AN      ,65137,26020,26152,2653,933,161,18078,5108,4338,36073,19062,20272,6225,775,1030,2108,142,351,56804,25103,24771,55038,22047,14099,1766,3056,10672
01AP      ,45376,25207,13855,1554,1244,100,13696,5445,2694,22000,16801,9734,4994,1362,888,3132,355,439,37250,23490,12528,35802,20905,8092,1448,2585,4436
02AQ      ,38430,9438,15602,1537,316,75,8159,1095,1779,25497,7938,13460,2582,62,199,655,27,89,35193,9349,15314,34600,8137,7126,593,1212,8188
02AR      ,78506,24258,31603,2619,938,166,26022,4671,5775,33483,17556,22925,9457,810,1719,6925,283,1018,62124,23165,28866,59837,19860,15107,2287,3305,13759
02AS      ,60284,13273,27036,2174,489,105,20486,2128,4450,31181,10417,21563,4552,160,558,1891,79,360,53841,13034,26118,52816,11522,13420,1025,1512,12698
02AT      ,67428,22639,27309,2993,981,192,16865,3648,4016,37588,17413,21619,6869,475,997,3113,122,485,57446,22042,25827,55760,19695,15990,1686,2347,9837
02AU      ,82254,20931,35626,2507,744,106,33331,4148,6937,35456,15460,26725,6594,399,1125,4366,180,733,71294,20352,33768,69484,17802,16454,1810,2550,17314
02AW      ,88598,24319,38371,3051,839,162,31728,4531,6896,42803,18328,29524,7308,441,1176,3708,180,613,77582,23698,36582,75559,20754,19641,2023,2944,16941
02AX      ,76804,23386,32446,3186,924,212,21665,4417,5297,43075,17359,25653,6337,551,891,2541,135,393,67926,22700,31162,66243,20197,19071,1683,2503,12091
02AY      ,70211,17728,31159,2592,686,139,21244,2905,4708,35233,13690,24732,7263,342,955,3879,105,625,59069,17281,29579,57406,14933,14426,1663,2348,15153
02AZ      ,53929,15369,23785,2060,607,125,15216,2583,3814,31323,11865,19119,3900,248,478,1430,66,249,48599,15055,23058,47533,13199,11692,1066,1856,11366
02BA      ,54394,14176,23258,2033,542,95,20023,2700,4243,23757,10534,17636,5467,308,861,3114,92,423,45813,13776,21974,44614,12046,11552,1199,1730,10422
02BB      ,68606,14953,29031,2672,685,106,21631,2014,4183,36103,11984,23685,5571,193,616,2629,77,441,60406,14683,27974,59374,13014,13329,1032,1669,14645
02BC      ,65654,15503,29191,2713,696,136,21809,2730,4903,33705,11794,23208,5127,203,617,2300,80,327,58227,15220,28247,56855,13293,13846,1372,1927,14401
02BD      ,56271,16059,23809,2275,559,96,16549,2959,3837,31395,12102,18954,4328,348,660,1724,91,262,50219,15620,22887,49104,13773,12991,1115,1847,9896
02BE      ,36909,10355,15821,1096,436,69,14425,2279,3057,16341,7294,11836,3400,263,570,1647,83,289,31862,10009,14962,30988,8644,7640,874,1365,7322
02BF      ,45319,13377,19380,1510,398,87,15166,2641,3438,22661,9982,14992,4231,293,633,1751,63,230,39337,13021,18517,38103,11306,9826,1234,1715,8691
02BG      ,61849,16043,26140,2041,536,116,19618,2789,4480,29738,12308,20088,6958,295,928,3494,115,528,51397,15633,24684,50063,13792,12898,1334,1841,11786
02BH      ,44215,14606,17692,1298,372,75,17627,3425,3799,18401,10036,12334,4491,598,1089,2398,175,395,37326,13833,16208,36055,11934,8776,1271,1899,7432
02BJ      ,46838,12575,20471,1545,638,87,17701,2567,3821,21479,9053,15674,4113,233,594,2000,84,295,40725,12258,19582,39642,10646,9624,1083,1612,9958
02BK      ,55623,15310,23750,1938,600,147,14388,2527,3436,32263,11829,19252,5251,283,644,1783,71,271,48589,14956,22835,47235,12999,11546,1354,1957,11289
03BL      ,63992,13461,31462,3225,692,175,16921,1628,4310,36677,10776,25028,4514,247,1224,2655,118,725,56823,13096,29513,55636,11080,15139,1187,2016,14374
03BM      ,45246,9887,21977,1823,423,109,13497,1432,3444,23750,7681,16811,3598,232,919,2578,119,694,39070,9536,20364,38224,8077,10526,846,1459,9838
03BN      ,96836,31800,41874,4685,1687,217,20077,4468,5362,63075,24967,34631,6173,507,1100,2826,171,564,87837,31122,40210,85349,25940,18995,2488,5182,21215
03BP      ,55154,12403,28271,2634,587,138,13958,1337,3628,32388,10152,22999,3925,217,868,2249,110,638,48980,12076,26765,47807,10262,14161,1173,1814,12604
03BQ      ,50563,11218,25079,2242,492,133,13286,1355,3582,29259,9044,19933,3645,226,863,2131,101,568,44787,10891,23648,43834,9183,12470,953,1708,11178
03BR      ,57369,14996,26370,2906,738,102,12489,1774,3326,36825,12151,21787,3279,225,675,1870,108,480,52220,14663,25215,51139,12217,11719,1081,2446,13496
03BS      ,76464,16648,36143,3177,813,117,26122,2592,5846,37613,12729,27995,5483,352,1290,4069,162,895,66912,16134,33958,65411,13752,16483,1501,2382,17475
03BT      ,55426,12272,27319,2662,545,132,13128,1293,3527,33824,10116,22211,3720,210,854,2092,108,595,49614,11954,25870,48640,10223,13440,974,1731,12430
03BU      ,57654,13949,26259,2742,654,92,18337,2106,4316,30178,10825,20470,3603,244,778,2794,120,603,51257,13585,24878,50123,11567,12100,1134,2018,12778
03BW      ,76768,14484,36966,3515,707,202,18227,1616,4737,48131,11820,30235,4318,217,980,2577,124,812,69873,14143,35174,68961,12055,17996,912,2088,17178
04BX      ,36459,10347,17038,2042,501,86,7316,1060,2055,24741,8697,14591,1595,49,166,765,40,140,34099,10258,16732,33533,8861,7502,566,1397,9230
04BY      ,107324,34867,47924,4948,1623,213,23044,5157,6158,70891,27472,40066,5273,368,802,3168,247,685,98883,34252,46437,96562,28954,19224,2321,5298,27213
04BZ      ,46196,9025,21693,2101,437,75,11745,1090,3099,29121,7296,17685,1788,109,435,1441,93,399,42967,8823,20859,42452,7519,10264,515,1304,10595
04CA      ,70678,18858,33056,3001,823,125,22490,2960,5221,37084,14564,26029,4658,317,900,3445,194,781,62575,18347,31375,61117,15556,14433,1458,2791,16942
04CB      ,78595,19473,35527,3427,987,141,25000,3061,5591,42514,14931,28061,4141,312,953,3513,182,781,70941,18979,33793,69528,15861,14491,1413,3118,19302
05CC      ,55583,10474,24444,3351,573,195,12835,1120,3196,35382,8538,19790,2326,159,694,1689,84,569,51568,10231,23181,50922,8693,10433,646,1538,12748
05CE      ,71969,13138,30393,4869,793,290,17761,1496,4258,43590,10498,24330,3252,194,784,2497,157,731,66220,12787,28878,65276,10607,12867,944,2180,16011
05CF      ,62660,10810,28570,3844,694,225,15592,1263,3930,38789,8616,23195,2586,143,653,1849,94,567,58225,10573,27350,57509,8978,12882,716,1595,14468
05CG      ,130786,30089,62732,7543,1831,499,32913,4196,8360,79041,23437,51565,6967,409,1284,4322,216,1024,119497,29464,60424,116468,24682,24983,3029,4782,35441
06CH      ,50718,11731,24146,2741,578,117,12028,1376,3152,32763,9600,20033,1755,92,473,1431,85,371,47532,11554,23302,46815,9965,11058,717,1589,12244
06CJ      ,62959,18317,30043,3107,941,169,16532,2915,4499,38425,14196,24388,2685,149,550,2210,116,437,58064,18052,29056,56858,15336,13122,1206,2716,15934
06CK      ,48277,11263,22902,2625,515,124,13621,1446,3300,28555,9082,18561,1886,123,479,1590,97,438,44801,11043,21985,44033,9289,10226,768,1754,11759
06CL      ,37187,8841,16257,2536,470,94,8369,997,2141,23942,7234,13442,1229,73,270,1111,67,310,34847,8701,15677,34362,7353,7117,485,1348,8560
06CM      ,66948,14954,30808,3977,866,216,15449,1758,4121,43222,12091,25423,2233,146,555,2067,93,493,62648,14715,29760,61801,12677,12894,847,2038,16866
07CN      ,235969,62098,103945,11152,3286,572,56657,9115,14380,148087,48514,85214,12688,836,2381,7385,347,1398,215896,60915,100166,210486,52047,47173,5410,8868,52993
07CQ      ,75022,17059,34944,4605,1233,227,17011,2219,4739,47669,13323,28711,3601,179,749,2136,105,518,69285,16775,33677,67978,14328,17100,1307,2447,16577
07CR      ,79791,14417,38008,3291,811,154,22340,1721,4929,46663,11541,31411,4613,217,908,2884,127,606,72294,14073,36494,70901,12044,16276,1393,2029,20218
07CS      ,74099,15778,34330,3428,786,196,15304,1695,3504,50319,13034,29560,3408,178,650,1640,85,420,69051,15515,33260,67501,13248,15585,1550,2267,17675
07CT      ,52867,10736,24892,2532,545,92,19008,1675,4020,25378,8271,19621,3143,154,660,2806,91,499,46918,10491,23733,45975,9002,10500,943,1489,13233
07CU      ,66297,13624,31099,3127,764,151,17127,1587,3772,39689,10974,25946,3872,172,758,2482,127,472,59943,13325,29869,58661,11504,14199,1282,1821,15670
07CW      ,59908,13153,26432,2909,784,147,13611,1644,3228,38338,10446,22068,3067,180,567,1983,99,422,54858,12874,25443,53510,10944,11819,1348,1930,13624
08CX      ,109174,25271,51401,7110,1277,627,28842,3129,6988,60755,20228,40989,7738,415,1657,4729,222,1140,96707,24634,48604,94407,20446,23629,2300,4188,24975
08CY      ,47166,10496,23877,3084,577,304,12277,1306,3115,26155,8296,18981,3344,214,846,2306,103,631,41516,10179,22400,40377,8272,9920,1139,1907,12480
08CZ      ,92252,18742,43177,6382,1193,594,25370,2338,5813,50174,14708,34198,6188,302,1527,4138,201,1045,81926,18239,40605,79992,15013,18167,1934,3226,22438
08DA      ,174208,41683,82191,10903,2408,800,49325,5868,11585,96083,32414,65670,10490,628,2334,7407,365,1802,156311,40690,78055,152667,34272,35154,3644,6418,42901
08DB      ,80007,15597,36565,4714,902,360,20987,1894,4891,48144,12457,29615,3497,205,921,2665,139,778,73845,15253,34866,72827,12955,15751,1018,2298,19115
09DC      ,19560,5817,9007,771,317,35,6080,1062,1393,10129,4217,7070,1695,158,300,885,63,209,16980,5596,8498,16310,4568,3304,670,1028,5194
09DD      ,97396,27290,41556,4245,1277,196,24952,4276,5633,58653,20977,33870,6280,550,1142,3266,210,715,87850,26530,39699,85407,22103,16202,2443,4427,23497
09DE      ,24126,4588,11022,1237,204,51,7127,604,1519,13231,3703,8995,1625,49,266,906,28,191,21595,4511,10565,21242,3897,4291,353,614,6274
09DF      ,33421,5622,14686,1484,299,73,10730,837,2363,17269,4320,11502,2461,109,418,1477,57,330,29483,5456,13938,29049,4666,6254,434,790,7684
09DG      ,20999,3894,8658,748,153,26,6377,538,1262,10707,3062,6758,1847,94,348,1320,47,264,17832,3753,8046,17447,3212,3489,385,541,4557
09DH      ,41134,7700,17648,1759,323,62,14668,1223,2931,18581,5773,13278,3675,262,743,2451,119,634,35008,7319,16271,34083,5958,6755,925,1361,9516
10DJ      ,43718,9303,18813,2348,465,108,11146,1160,2629,26517,7544,15458,2519,99,418,1188,35,200,40011,9169,18195,39218,8117,9914,793,1052,8281
10DK      ,29824,4639,13008,1100,209,62,10251,708,2186,14265,3588,9971,2554,83,473,1654,51,316,25616,4505,12219,25084,3918,6051,532,587,6168
10DL      ,36048,7304,15997,1584,403,90,11341,1071,2545,19111,5646,12666,2496,118,443,1516,66,253,32036,7120,15301,31319,6063,7556,717,1057,7745
10DM      ,30616,5428,13782,1317,276,66,10597,786,2257,15346,4234,10789,2119,93,432,1237,39,238,27260,5296,13112,26817,4669,6968,443,627,6144
11DN      ,24161,4765,10952,901,197,61,8684,790,1875,11868,3679,8570,1957,73,290,751,26,156,21453,4666,10506,21059,4068,5448,394,598,5058
11DP      ,34604,6257,14462,1293,269,43,12440,970,2431,16046,4799,11130,3050,153,530,1775,66,328,29779,6038,13604,29073,5054,6277,706,984,7327
11DQ      ,36372,9186,15394,1466,435,89,10939,1543,2412,19935,7037,12358,3023,123,357,1009,48,178,32340,9015,14859,31435,7637,6805,905,1378,8054
11DR      ,27874,6427,12305,1274,285,61,7003,973,1700,16973,5075,10228,2053,72,228,571,22,88,25250,6333,11989,24633,5519,6681,617,814,5308
11DS      ,38311,8603,16476,1320,341,67,15359,1635,3067,16113,6296,12265,3481,243,655,2038,88,422,32792,8272,15399,31853,7143,7285,939,1129,8114
11DT      ,33624,5833,14694,1320,246,43,14999,955,2721,13296,4443,11180,2593,131,488,1416,58,262,29615,5644,13944,29073,4863,6228,542,781,7716
12DU      ,37812,7404,16183,1554,450,71,12628,1154,2728,18039,5533,12426,3488,185,599,2103,82,359,32221,7137,15225,31595,6103,7283,626,1034,7942
12DW      ,25856,5146,10992,825,225,29,11792,923,2099,9330,3762,8002,2287,167,569,1622,69,293,21947,4910,10130,21344,4099,4200,603,811,5930
12DX      ,32539,5764,14849,1426,244,61,10206,885,2357,17822,4535,11924,2111,76,344,974,24,163,29454,5664,14342,29001,4934,7570,453,730,6772
12DY      ,17803,3882,7499,683,188,20,7494,715,1438,6605,2790,5500,1684,129,325,1337,60,216,14782,3693,6958,14320,3194,3149,462,499,3809
12DZ      ,44886,8631,19281,1733,379,71,16777,1312,3287,20124,6659,14821,4038,202,704,2214,79,398,38634,8350,18179,37662,7179,8298,972,1171,9881
13EB      ,23173,7332,10044,1048,529,60,7156,1421,1441,12433,5138,8047,1750,190,361,786,54,135,20637,7088,9548,19721,5828,3749,916,1260,5799
13EC      ,15002,2583,6104,547,100,17,3919,323,863,7394,2063,4764,2117,70,296,1025,27,164,11860,2486,5644,11536,2149,2644,324,337,3000
13EE      ,17243,2897,6986,559,98,24,3626,245,867,9706,2428,5650,2088,74,248,1264,52,197,13891,2771,6541,13549,2348,3318,342,423,3223
13EF      ,34916,5353,14408,1369,266,81,12088,751,2337,16740,4160,11168,2793,112,466,1926,64,356,30197,5177,13586,29654,4521,7176,543,656,6410
13EG      ,34531,6521,15020,1558,332,89,8707,845,2074,21084,5216,12296,1990,74,334,1192,54,227,31349,6393,14459,30723,5484,7019,626,909,7440
13EH      ,31278,5158,13191,1320,272,62,11417,831,2154,13646,3859,10063,2922,130,586,1973,66,326,26383,4962,12279,25660,4203,5194,723,759,7085
14EJ      ,29125,6857,12608,1239,363,47,9956,1102,2154,14146,5201,9648,1991,102,373,1793,89,386,25341,6666,11849,24690,5412,5019,651,1254,6830
14EK      ,20809,3418,10152,949,197,38,7211,453,1584,9878,2621,7865,1557,93,380,1214,54,285,18038,3271,9487,17672,2828,4884,366,443,4603
14EL      ,26402,5131,11579,1454,315,66,6517,611,1553,15481,4050,9230,1574,100,366,1376,55,364,23452,4976,10849,23078,4218,5034,374,758,5815
14EM      ,20708,4239,9562,1114,235,36,5942,541,1524,12198,3397,7661,756,33,172,698,33,169,19254,4173,9221,18975,3519,4191,279,654,5030
14EN      ,29523,5860,12585,1358,247,59,6951,610,1804,19525,4914,10303,1035,41,201,654,48,218,27834,5771,12166,27478,4929,6047,356,842,6119
14EP      ,40059,8572,18234,1481,430,60,15294,1352,3196,16498,6404,13548,3504,239,794,3282,147,636,33273,8186,16804,32313,6861,7953,960,1325,8851
14EQ      ,28970,5272,12367,1354,239,50,9167,649,1874,15295,4221,9678,1658,105,359,1496,58,406,25816,5109,11602,25388,4281,5359,428,828,6243
14ER      ,43571,8310,20322,2026,473,100,13346,1019,3053,24560,6618,16282,2080,125,462,1559,75,425,39932,8110,19435,39203,6769,9167,729,1341,10268
15ES      ,21700,4984,9758,1476,276,70,5015,524,1348,13792,4088,7976,751,54,183,666,42,181,20283,4888,9394,19877,4078,4342,406,810,5052
15ET      ,35010,6918,14969,2333,414,74,9545,800,2250,20946,5562,11994,1110,95,308,1076,47,343,32824,6776,14318,32326,5646,6208,498,1130,8110
15EU      ,32437,8120,14539,2106,455,97,8173,975,2157,20135,6556,11860,1135,86,222,888,48,203,30414,7986,14114,29790,6553,5794,624,1433,8320
15EW      ,41563,8707,18919,2599,507,129,12120,1219,3028,24145,6848,15086,1436,73,342,1263,60,334,38864,8574,18243,38231,7136,8146,633,1438,10097
16EX      ,17699,2573,6020,1674,113,17,4249,310,884,7753,1917,4256,2617,165,507,1406,68,356,13676,2340,5157,13382,1893,2330,294,447,2827
16EY      ,16700,3730,6821,574,186,37,4414,607,1035,7592,2660,4858,2591,186,496,1529,91,395,12580,3453,5930,12128,2794,2450,452,659,3480
16EZ      ,19149,3387,6666,710,168,20,4567,469,993,9472,2510,4799,2944,159,500,1456,81,354,14749,3147,5812,14404,2624,2644,345,523,3168
16FA      ,15550,2820,5337,443,121,22,3024,355,740,6919,2024,3655,3315,213,532,1849,107,388,10386,2500,4417,9985,1996,1942,401,504,2475
16FB      ,11768,2426,4160,329,94,14,2392,311,588,5494,1790,2875,2273,140,383,1280,91,300,8215,2195,3477,7845,1763,1530,370,432,1947
16FC      ,18969,3346,6614,697,136,14,4467,385,933,9748,2607,4619,2525,142,564,1532,76,484,14912,3128,5566,14544,2585,2774,368,543,2792
16FD      ,516,122,213,5,2,0,102,18,41,193,83,120,136,9,29,80,10,23,300,103,161,280,76,68,20,27,93
17FE      ,24174,4535,9834,1096,235,55,5477,489,1333,13818,3567,7443,2143,161,583,1640,83,420,20391,4291,8831,19961,3639,4371,430,652,4460
17FF      ,19324,3814,7870,1672,330,65,4059,310,973,12296,3058,6374,713,75,237,584,41,221,18027,3698,7412,17755,3045,3354,272,653,4058
17FG      ,25862,6037,11809,1175,321,50,6578,803,1623,14567,4699,9470,2104,135,375,1438,79,291,22320,5823,11143,21828,4839,4634,492,984,6509
17FH      ,19312,3623,7541,1090,188,31,4933,393,1058,11537,2903,5953,982,81,252,770,58,247,17560,3484,7042,17363,2978,3444,197,506,3598
17FJ      ,11855,2217,4129,420,92,12,2228,233,500,5632,1705,2944,2155,115,376,1420,72,297,8280,2030,3456,8055,1670,1415,225,360,2041
17FK      ,23814,5297,10396,1013,247,31,6113,719,1433,11456,3959,7630,3082,235,684,2150,137,618,18582,4925,9094,17975,4010,3708,607,915,5386
18FL      ,29842,5307,13258,1248,218,68,7908,583,1679,17288,4356,10697,2083,100,456,1315,50,358,26444,5157,12444,25938,4467,5751,506,690,6693
18FM      ,18288,3162,7194,801,124,35,4096,273,862,12055,2689,5869,749,46,233,587,30,195,16952,3086,6766,16781,2671,3205,171,415,3561
18FN      ,24819,4718,11039,1204,256,79,5978,585,1554,15788,3771,8971,1162,67,240,687,39,195,22970,4612,10604,22588,3893,4735,382,719,5869
18FP      ,56273,11577,24402,3987,770,219,14167,1438,3284,34127,9133,19986,2667,145,532,1325,91,381,52281,11341,23489,51297,9596,10180,984,1745,13309
18FQ      ,27117,5060,12661,1324,220,94,7267,578,1681,15979,4141,10286,1604,71,343,943,50,257,24570,4939,12061,24106,4276,5749,464,663,6312
18FR      ,21602,4186,10107,884,178,39,6161,539,1489,11466,3298,7770,1821,115,442,1270,56,367,18511,4015,9298,18085,3336,4512,426,679,4786
18FS      ,26529,4104,11558,1253,211,78,7672,496,1873,14437,3278,8884,1788,77,375,1379,42,348,23362,3985,10835,23036,3400,5176,326,585,5659
18FT      ,18873,3023,7765,987,152,58,5086,381,1157,10636,2369,6035,1235,84,291,929,37,224,16709,2902,7250,16419,2473,3329,290,429,3921
18FU      ,18364,3431,7540,685,125,25,4927,400,1040,8916,2665,5690,2352,160,463,1484,81,322,14528,3190,6755,14113,2589,2711,415,601,4044
19FW      ,23259,5112,9217,996,210,30,5959,719,1270,10254,3803,6680,3842,255,673,2208,125,564,17209,4732,7980,16494,3697,3175,715,1035,4805
19FX      ,23442,6495,11222,869,354,59,6677,1089,1711,13064,4904,8964,1837,86,270,995,62,218,20610,6347,10734,19868,5202,4364,742,1145,6370
19FY      ,14850,2815,5645,373,103,13,3176,340,778,7066,2153,4122,2748,160,449,1487,59,283,10615,2596,4913,10247,2066,2012,368,530,2901
19FZ      ,19299,3942,7624,709,193,17,4274,488,1020,8958,2927,5400,3426,214,629,1932,120,558,13941,3608,6437,13417,2948,2743,524,660,3694
19GA      ,62668,12302,23744,3213,667,143,16781,1755,3396,37178,9559,19154,3579,217,614,1917,104,437,57172,11981,22693,56327,10129,10244,845,1852,12449
19GB      ,16841,2933,6013,577,115,26,4544,471,922,7126,2029,4079,2855,217,542,1739,101,444,12247,2615,5027,11837,2087,2092,410,528,2935
19GC      ,21606,4703,9232,792,235,52,5629,704,1410,10120,3428,6576,3172,211,687,1893,125,507,16541,4367,8038,15908,3533,3388,633,834,4650
19GD      ,23582,5958,9942,815,276,31,6087,910,1464,10864,4393,6765,3816,230,930,2000,149,752,17766,5579,8260,17023,4500,3499,743,1079,4761
19GE      ,11937,2127,4316,432,78,8,2114,205,502,5625,1673,3098,2454,109,425,1312,62,283,8171,1956,3608,7874,1579,1493,297,377,2115
19GF      ,10554,1829,3773,302,93,9,2489,199,571,4633,1308,2552,1968,154,391,1162,75,250,7424,1600,3132,7129,1246,1274,295,354,1858
20GG      ,31805,9524,13186,1174,376,41,8474,1564,1939,15625,7075,9466,4469,349,1027,2063,160,713,25273,9015,11446,24157,7386,4898,1116,1629,6548
20GH      ,8264,1896,3663,279,77,7,2507,314,548,3891,1411,2762,1101,65,204,486,29,142,6677,1802,3317,6380,1432,1336,297,370,1981
20GJ      ,11715,2130,4460,359,79,14,3026,255,559,5516,1644,3360,1801,112,296,1013,40,231,8901,1978,3933,8578,1538,1553,323,440,2380
20GK      ,29608,6629,12930,1182,299,53,8813,1125,2019,14815,4981,10048,3233,153,450,1565,71,360,24810,6405,12120,24050,5297,5326,760,1108,6794
20GL      ,10998,1971,3955,574,90,19,3227,246,603,5343,1513,2936,1156,80,215,698,42,182,9144,1849,3558,8895,1493,1516,249,356,2042
20GM      ,19051,3889,7634,705,167,19,4964,592,1069,8833,2828,5652,2758,214,508,1791,88,386,14502,3587,6740,13897,2747,2558,605,840,4182
20GN      ,13977,2682,5512,527,141,27,4346,378,834,7130,2038,4079,1230,60,306,744,65,266,12003,2557,4940,11725,2072,2146,278,485,2794
20GP      ,16645,3056,6946,608,156,23,5785,471,1221,6855,2279,5088,2122,93,327,1275,57,287,13248,2906,6332,12829,2409,2842,419,497,3490
21GQ      ,13199,2387,6461,629,121,27,3777,309,975,7876,1914,5207,444,27,122,473,16,130,12282,2344,6209,12149,2022,3263,133,322,2946
21GR      ,24647,5324,11054,1423,322,69,6735,768,1743,14258,4110,8705,1230,74,247,1001,50,290,22416,5200,10517,21892,4365,4899,524,835,5618
21GS      ,17151,4067,9067,919,222,49,3961,456,1367,10704,3295,7211,819,46,217,748,48,223,15584,3973,8627,15270,3376,4279,314,597,4348
21GT      ,20621,4177,10158,784,249,56,6450,603,1692,11918,3218,8008,724,59,197,745,48,205,19152,4070,9756,18877,3539,4920,275,531,4836
21GU      ,23906,5070,9914,1368,272,70,4574,542,1312,16684,4183,8136,696,41,183,584,32,213,22626,4997,9518,22442,4345,4665,184,652,4853
21GW      ,22956,4622,10855,1449,259,109,5152,488,1486,14771,3786,8872,851,54,193,733,35,195,21372,4533,10467,21056,3960,6009,316,573,4458
21GX      ,6307,1161,2479,278,40,14,1452,126,344,3070,921,1796,912,52,190,595,22,135,4800,1087,2154,4698,924,1138,102,163,1016
21GY      ,14578,3118,6533,784,178,41,3133,338,856,9143,2518,5201,822,53,238,696,31,197,13060,3034,6098,12824,2615,3236,236,419,2862
22GZ      ,34685,10840,14859,1163,429,73,9770,1885,2279,17563,8038,11522,4521,351,649,1668,137,336,28496,10352,13874,27332,8433,5784,1164,1919,8090
22HA      ,15899,4990,7675,501,219,23,4495,833,1095,8096,3705,5908,1898,164,386,909,69,263,13092,4757,7026,12403,3734,2736,689,1023,4290
22HB      ,15951,4492,7209,472,219,40,4465,789,1174,7977,3260,5404,2066,145,354,971,79,237,12914,4268,6618,12409,3385,2819,505,883,3799
22HC      ,19140,6075,7886,601,189,34,5809,1180,1346,9106,4391,5879,2350,215,365,1274,100,262,15516,5760,7259,14748,4681,3220,768,1079,4039
22HD      ,18766,4297,8329,506,140,22,6380,733,1334,8603,3185,6318,2086,174,404,1191,65,251,15489,4058,7674,14868,3264,3157,621,794,4517
22HE      ,15286,3645,6539,408,129,25,4483,588,1018,6464,2645,4590,2380,196,487,1551,87,419,11355,3362,5633,10714,2542,2182,641,820,3451
22HF      ,27934,6020,11804,787,240,53,9509,1034,2003,11124,4268,8509,4055,335,746,2459,143,493,21420,5542,10565,20516,4401,4035,904,1141,6530
23HG      ,41472,7882,18057,1688,365,80,12780,985,2632,22354,6378,14763,3404,117,395,1246,37,187,36822,7728,17475,36325,6858,8814,497,870,8661
23HH      ,30375,4874,12464,954,295,57,9459,610,1826,15461,3780,9823,2967,124,460,1534,65,298,25874,4685,11706,25259,4007,5524,615,678,6182
23HJ      ,20704,4434,8842,675,199,34,8660,733,1592,8666,3388,6754,1472,70,255,1231,44,207,18001,4320,8380,17554,3704,3698,447,616,4682
23HK      ,23177,4016,9542,946,171,40,7615,485,1423,11303,3264,7611,2282,73,294,1031,23,174,19864,3920,9074,19565,3497,4735,299,423,4339
23HL      ,40170,7301,17539,1327,488,72,15759,1068,2968,18559,5555,13756,2813,138,458,1712,52,285,35645,7111,16796,34872,6135,7797,773,976,8999
23HM      ,35391,6821,14950,1396,397,90,11581,1046,2292,17674,5208,11778,3073,107,440,1667,63,350,30651,6651,14160,29919,5558,6005,732,1093,8155
23HN      ,33381,6993,13904,1024,271,34,11599,1165,2444,14777,5319,10435,3236,157,517,2745,81,474,27400,6755,12913,26678,5847,5967,722,908,6946
23HP      ,22765,5081,10546,982,218,47,6406,672,1576,13412,4128,8686,1464,48,173,501,15,64,20800,5018,10309,20503,4379,4932,297,639,5377
23HQ      ,13047,1973,5064,415,95,26,4287,272,824,5703,1492,3744,1679,73,262,963,41,208,10405,1859,4594,10149,1565,2187,256,294,2407
23HR      ,20367,3765,8799,736,187,20,7478,524,1435,9237,2945,6919,1886,66,257,1030,43,168,17451,3656,8374,17116,3191,3821,335,465,4553
