zoneid,81sas070615,81sas070616,81sas070617,81sas070618,81sas070619,81sas070620,81sas070621,81sas070622,81sas070623,81sas070624,81sas070625,81sas070626,81sas070627,81sas070628,81sas070629,81sas070630,81sas070631,81sas070632,81sas070633,81sas070634,81sas070635,81sas070636,81sas070637,81sas070638,81sas070639,81sas070640,81sas070641
0C        ,11854844,2709554,5169126,523258,130441,27060,3423510,403947,773301,6416739,2086954,4072537,928849,60523,174137,562488,27689,122091,10363507,2621342,4872898,10113108,2225441,2304819,250399,395901,2568079
0D        ,644916,131338,276045,28772,6445,1294,162544,17247,40808,361971,101853,213302,57489,3793,11996,34140,2000,8645,553287,125545,255404,542414,105976,130507,10873,19569,124897
0E        ,1235987,311760,547924,69071,18579,2752,333138,46110,80257,709186,239719,443060,63267,4050,10895,61325,3302,10960,1111395,304408,526069,1089095,265158,272205,22300,39250,253864
