zoneid,81sas020050,81sas020051,81sas020052,81sas020053,81sas020054,81sas020055,81sas020056,81sas020057,81sas020058,81sas020059,81sas020060,81sas020061,81sas020062,81sas020063,81sas020064,81sas020065,81sas020066,81sas020067,81sas020068,81sas020069,81sas020070,81sas020071,81sas020072,81sas020073,81sas020074,81sas020075,81sas020076,81sas020077,81sas020078,81sas020079,81sas020080,81sas020081,81sas020082,81sas020083,81sas020084,81sas020085,81sas020086,81sas020087,81sas020088,81sas020089,81sas020090,81sas020091,81sas020092,81sas020093,81sas020094,81sas020095,81sas020096,81sas020097,81sas020098,81sas020099,81sas020100,81sas020101,81sas020102,81sas020103,81sas020104,81sas020105,81sas020106,81sas020107,81sas020108,81sas020109,81sas020110,81sas020111,81sas020112,81sas020113,81sas020114,81sas020115,81sas020116,81sas020117,81sas020118,81sas020119,81sas020120,81sas020121,81sas020122,81sas020123,81sas020124,81sas020125,81sas020126,81sas020127,81sas020128,81sas020129,81sas020130,81sas020131,81sas020132,81sas020133,81sas020134,81sas020135,81sas020136,81sas020137,81sas020138,81sas020139,81sas020140,81sas020141,81sas020142,81sas020143,81sas020144,81sas020145,81sas020146,81sas020147,81sas020148,81sas020149,81sas020150,81sas020151,81sas020152,81sas020153,81sas020154,81sas020155,81sas020156,81sas020157,81sas020158,81sas020159,81sas020160,81sas020161,81sas020162,81sas020163,81sas020164,81sas020165,81sas020166,81sas020167,81sas020168,81sas020169,81sas020170,81sas020171,81sas020172,81sas020173,81sas020174,81sas020175,81sas020176,81sas020177,81sas020178,81sas020179,81sas020180,81sas020181,81sas020182,81sas020183,81sas020184,81sas020185,81sas020186,81sas020187,81sas020188,81sas020189,81sas020190,81sas020191,81sas020192,81sas020193,81sas020194,81sas020195,81sas020196,81sas020197,81sas020198,81sas020199,81sas020200,81sas020201,81sas020202,81sas020203,81sas020204,81sas020205,81sas020206,81sas020207,81sas020208,81sas020209
0C        ,45771956,22288395,10929996,11358399,23483561,12076275,11407286,2743202,1406571,1406571,0,1336631,1336631,0,3020670,1551339,1551339,0,1469331,1469331,0,3626070,1859423,1859423,0,1766647,1766647,0,764368,390835,390835,0,373533,373533,0,3029972,1547723,1527288,20435,1482249,1400277,81972,3373986,1707993,1291368,416625,1665993,929456,736537,3098872,1559416,586828,972588,1539456,386947,1152509,3456370,1734007,375710,1358297,1722363,275275,1447088,2920393,1467876,245453,1222423,1452517,208005,1244512,2636227,1326239,201024,1125215,1309988,190456,1119532,2537855,1275233,188798,1086435,1262622,196915,1065707,2626070,1301806,199061,1102745,1324264,244069,1080195,2706563,1320373,205746,1114627,1386190,328972,1057218,2379629,1124455,180502,943953,1255174,398033,857141,2282692,1035071,194635,840436,1247621,539383,708238,1941339,820476,192527,627949,1120863,633299,487564,1373640,512793,161895,350898,860847,610367,250480,774229,233988,102413,131575,540241,449201,91040,479809,112778,68580,44198,367031,339478,27553,2512880,0,0,0,0,0,0,0,0,1280,1403,2132,6301,23321,153188,817159,714605,468911,218967,105613
0D        ,2749640,1336323,652677,683646,1413317,727227,686090,166962,85855,85855,0,81107,81107,0,185919,95701,95701,0,90218,90218,0,220202,112331,112331,0,107871,107871,0,45885,23587,23587,0,22298,22298,0,179769,91461,89967,1494,88308,82513,5795,190226,96698,70177,26521,93528,48305,45223,175889,88249,30337,57912,87640,19378,68262,199734,100557,20144,80413,99177,14287,84890,172044,86535,13942,72593,85509,11161,74348,156133,79043,12084,66959,77090,10490,66600,151280,75832,11704,64128,75448,11199,64249,158903,78769,12897,65872,80134,14672,65462,170912,83059,14174,68885,87853,21323,66530,153183,71334,12522,58812,81849,27562,54287,143547,64829,13219,51610,78718,36243,42475,120396,50400,12805,37595,69996,42056,27940,84725,31253,10559,20694,53472,39554,13918,46982,14367,6593,7774,32615,27826,4789,26949,6463,4079,2384,20486,19164,1322,161321,0,0,0,0,0,0,0,0,72,85,156,503,2409,13148,52230,44664,28656,13406,5992
0E        ,5035315,2428472,1227000,1201472,2606843,1395555,1211288,308363,158288,158288,0,150075,150075,0,344408,176331,176331,0,168077,168077,0,425158,218162,218162,0,206996,206996,0,89024,45555,45555,0,43469,43469,0,357581,182210,178654,3556,175371,164430,10941,394312,199755,141474,58281,194557,104774,89783,342229,172216,57040,115176,170013,39266,130747,358727,180453,34555,145898,178274,26267,152007,300298,149502,23055,126447,150796,20629,130167,288128,141274,20340,120934,146854,20926,125928,285652,139458,20099,119359,146194,24181,122013,289611,139552,21676,117876,150059,32472,117587,289756,138444,23845,114599,151312,43244,108068,251274,114442,21498,92944,136832,52098,84734,240803,105683,24421,81262,135120,68481,66639,203530,83201,24229,58972,120329,77038,43291,142488,50910,19350,31560,91578,70782,20796,78344,22547,11474,11073,55797,49010,6787,45629,10489,6954,3535,35140,33340,1800,249162,0,0,0,0,0,0,0,0,143,143,236,564,1990,14238,83406,71991,45980,20837,9634
