zoneid,81sas020050,81sas020051,81sas020052,81sas020053,81sas020054,81sas020055,81sas020056,81sas020057,81sas020058,81sas020059,81sas020060,81sas020061,81sas020062,81sas020063,81sas020064,81sas020065,81sas020066,81sas020067,81sas020068,81sas020069,81sas020070,81sas020071,81sas020072,81sas020073,81sas020074,81sas020075,81sas020076,81sas020077,81sas020078,81sas020079,81sas020080,81sas020081,81sas020082,81sas020083,81sas020084,81sas020085,81sas020086,81sas020087,81sas020088,81sas020089,81sas020090,81sas020091,81sas020092,81sas020093,81sas020094,81sas020095,81sas020096,81sas020097,81sas020098,81sas020099,81sas020100,81sas020101,81sas020102,81sas020103,81sas020104,81sas020105,81sas020106,81sas020107,81sas020108,81sas020109,81sas020110,81sas020111,81sas020112,81sas020113,81sas020114,81sas020115,81sas020116,81sas020117,81sas020118,81sas020119,81sas020120,81sas020121,81sas020122,81sas020123,81sas020124,81sas020125,81sas020126,81sas020127,81sas020128,81sas020129,81sas020130,81sas020131,81sas020132,81sas020133,81sas020134,81sas020135,81sas020136,81sas020137,81sas020138,81sas020139,81sas020140,81sas020141,81sas020142,81sas020143,81sas020144,81sas020145,81sas020146,81sas020147,81sas020148,81sas020149,81sas020150,81sas020151,81sas020152,81sas020153,81sas020154,81sas020155,81sas020156,81sas020157,81sas020158,81sas020159,81sas020160,81sas020161,81sas020162,81sas020163,81sas020164,81sas020165,81sas020166,81sas020167,81sas020168,81sas020169,81sas020170,81sas020171,81sas020172,81sas020173,81sas020174,81sas020175,81sas020176,81sas020177,81sas020178,81sas020179,81sas020180,81sas020181,81sas020182,81sas020183,81sas020184,81sas020185,81sas020186,81sas020187,81sas020188,81sas020189,81sas020190,81sas020191,81sas020192,81sas020193,81sas020194,81sas020195,81sas020196,81sas020197,81sas020198,81sas020199,81sas020200,81sas020201,81sas020202,81sas020203,81sas020204,81sas020205,81sas020206,81sas020207,81sas020208,81sas020209
01        ,2425630,1161129,669505,491624,1264501,769556,494945,137213,70016,70016,0,67197,67197,0,126041,64323,64323,0,61718,61718,0,156402,79640,79640,0,76762,76762,0,35134,17820,17820,0,17314,17314,0,159404,78381,77245,1136,81023,76555,4468,245884,117162,97718,19444,128722,93973,34749,212336,106340,62991,43349,105996,53421,52575,182960,91777,38815,52962,91183,34490,56693,138594,68316,23127,45189,70278,22622,47656,132058,65745,19294,46451,66313,19484,46829,128181,64309,17882,46427,63872,18288,45584,136265,67384,18481,48903,68881,20717,48164,142536,69692,18512,51180,72844,24579,48265,126460,60160,15711,44449,66300,27429,38871,121865,54793,15579,39214,67072,34807,32265,102637,42594,13698,28896,60043,38227,21816,72460,25808,9918,15890,46652,35438,11214,42069,11494,5430,6064,30575,26224,4351,27131,5375,3305,2070,21756,20311,1445,118290,0,0,0,0,0,0,0,0,76,120,195,428,1109,4553,38811,34896,22690,10458,4954
02        ,4182968,2021433,1002439,1018994,2161535,1135564,1025971,245295,125979,125979,0,119316,119316,0,251222,128702,128702,0,122520,122520,0,302979,155356,155356,0,147623,147623,0,65829,33535,33535,0,32294,32294,0,267966,135810,134410,1400,132156,126479,5677,325841,162866,132795,30071,162975,104389,58586,305136,152839,68857,83982,152297,47688,104609,325878,162943,41905,121038,162935,32850,130085,263875,130723,25350,105373,133152,23518,109634,241367,119672,19918,99754,121695,21026,100669,235420,117266,18316,98950,118154,21035,97119,244578,119380,18532,100848,125198,25434,99764,253277,122653,18660,103993,130624,32905,97719,221708,105230,16190,89040,116478,38107,78371,211385,95469,17459,78010,115916,51117,64799,179402,75723,17276,58447,103679,59036,44643,125374,46324,14402,31922,79050,55991,23059,70722,20713,8702,12011,50009,41458,8551,45714,10250,6095,4155,35464,32778,2686,216951,0,0,0,0,0,0,0,0,102,122,206,549,1865,10771,69646,63600,41469,19093,9528
03        ,2575407,1252010,636199,615811,1323397,704536,618861,158764,81058,81058,0,77706,77706,0,175227,90343,90343,0,84884,84884,0,214546,110554,110554,0,103992,103992,0,44358,22829,22829,0,21529,21529,0,175824,88931,87513,1418,86893,81875,5018,194726,98451,73839,24612,96275,54148,42127,173650,88201,32771,55430,85449,21538,63911,192010,97607,21827,75780,94403,15150,79253,158115,80175,14439,65736,77940,11428,66512,146297,73988,12166,61822,72309,11230,61079,138322,69965,11479,58486,68357,11235,57122,143425,70983,12219,58764,72442,14127,58315,153916,75363,13062,62301,78553,19944,58609,132443,61901,11124,50777,70542,24346,46196,127175,55971,11795,44176,71204,33238,37966,108133,43946,11513,32433,64187,38779,25408,74531,25831,9101,16730,48700,36513,12187,41054,11129,5370,5759,29925,25818,4107,22891,4784,3197,1587,18107,17056,1051,132396,0,0,0,0,0,0,0,0,43,35,83,263,997,7249,45731,38945,23934,10562,4554
04        ,1503120,723357,379089,344268,779763,432832,346931,90518,46374,46374,0,44144,44144,0,100719,51653,51653,0,49066,49066,0,125014,64392,64392,0,60622,60622,0,26979,13651,13651,0,13328,13328,0,112465,57396,56733,663,55069,52879,2190,119117,60719,46823,13896,58398,35715,22683,98890,49416,18859,30557,49474,14260,35214,102314,51468,11993,39475,50846,9479,41367,84046,41804,7950,33854,42242,7095,35147,83605,41197,7189,34008,42408,7006,35402,85196,42394,7078,35316,42802,7684,35118,89361,43768,7679,36089,45593,9787,35806,89029,42391,7744,34647,46638,13259,33379,77228,35223,6772,28451,42005,15832,26173,74098,32123,7030,25093,41975,21022,20953,61869,24776,6834,17942,37093,23427,13666,43607,15175,5408,9767,28432,21680,6752,24223,6377,3002,3375,17846,15486,2360,14842,3060,1925,1135,11782,11061,721,77063,0,0,0,0,0,0,0,0,29,45,78,177,782,4520,26562,21948,14059,6009,2854
05        ,1292029,633081,302342,330739,658948,328307,330641,74320,38018,38018,0,36302,36302,0,86201,44317,44317,0,41884,41884,0,108424,55604,55604,0,52820,52820,0,22137,11278,11278,0,10859,10859,0,86869,44169,43337,832,42700,39850,2850,96514,48630,33982,14648,47884,24493,23391,85970,43711,13784,29927,42259,8915,33344,93683,47308,8849,38459,46375,6210,40165,81025,41027,6150,34877,39998,4824,35174,74416,37290,5149,32141,37126,4496,32630,71499,35765,4877,30888,35734,4587,31147,74543,37186,5485,31701,37357,6074,31283,79504,39565,6042,33523,39939,8585,31354,70575,33653,5451,28202,36922,11024,25898,64813,29716,5637,24079,35097,14727,20370,53486,22954,5451,17503,30532,17085,13447,36929,13935,4472,9463,22994,16302,6692,20136,6278,2763,3515,13858,11561,2297,10985,2677,1696,981,8308,7709,599,76760,0,0,0,0,0,0,0,0,33,30,62,169,779,7277,25809,20953,13088,6011,2549
06        ,1135492,550651,274974,275677,584841,307366,277475,66718,34161,34161,0,32557,32557,0,72677,37180,37180,0,35497,35497,0,88659,45337,45337,0,43322,43322,0,19311,9854,9854,0,9457,9457,0,77733,39326,38685,641,38407,36284,2123,88963,45306,32694,12612,43657,24119,19538,77245,39306,13786,25520,37939,9347,28592,80731,41009,8859,32150,39722,6308,33414,63774,32173,5641,26532,31601,4480,27121,63666,31625,5345,26280,32041,4645,27396,65067,32335,5420,26915,32732,5164,27568,70053,34425,6314,28111,35628,7085,28543,72842,35841,6838,29003,37001,9604,27397,63144,29442,5782,23660,33702,12144,21558,55969,24850,5571,19279,31119,15141,15978,46842,19294,5298,13996,27548,16946,10602,33420,11534,4104,7430,21886,16554,5332,18429,5335,2572,2763,13094,11248,1846,10249,2318,1533,785,7931,7464,467,61578,0,0,0,0,0,0,0,0,21,18,36,109,419,3811,21345,17667,10848,5086,2218
07        ,2628419,1294400,653177,641223,1334019,694259,639760,161950,83108,83108,0,78842,78842,0,179189,92566,92566,0,86623,86623,0,224858,115694,115694,0,109164,109164,0,46187,23794,23794,0,22393,22393,0,183488,93206,91410,1796,90282,84039,6243,200205,101907,75604,26303,98298,53961,44337,174123,88888,33045,55843,85235,21752,63483,180300,91271,21258,70013,89029,14813,74216,160928,81534,15533,66001,79394,11614,67780,150843,76516,12575,63941,74327,10915,63412,148007,75112,12161,62951,72895,10999,61896,157263,79877,13048,66829,77386,13666,63720,161444,79825,13331,66494,81619,18928,62691,142893,68647,11631,57016,74246,23435,50811,127273,58978,11797,47181,68295,29724,38571,100836,42483,10388,32095,58353,33557,24796,69753,25550,8279,17271,44203,31726,12477,37520,10646,4940,5706,26874,22698,4176,21359,4798,3015,1783,16561,15410,1151,133480,0,0,0,0,0,0,0,0,62,66,97,255,974,7211,49014,37643,23569,10057,4532
08        ,2021707,982676,484840,497836,1039031,541241,497790,127465,65517,65517,0,61948,61948,0,141020,72593,72593,0,68427,68427,0,168133,86462,86462,0,81671,81671,0,34211,17661,17661,0,16550,16550,0,133632,67653,66414,1239,65979,61453,4526,149487,75254,53635,21619,74233,38018,36215,136354,69470,23466,46004,66884,15215,51669,151333,76366,15645,60721,74967,11439,63528,121811,61569,10049,51520,60242,8623,51619,114357,57479,8706,48773,56878,8300,48578,110234,55213,8110,47103,55021,8565,46456,113852,56007,8525,47482,57845,10734,47111,119984,59414,9159,50255,60570,14767,45803,102834,48689,7848,40841,54145,17666,36479,99015,44323,8600,35723,54692,24477,30215,83851,34079,8445,25634,49772,29392,20380,60058,21049,6836,14213,39009,28498,10511,34524,9707,4512,5195,24817,21145,3672,19552,4171,2657,1514,15381,14353,1028,108829,0,0,0,0,0,0,0,0,47,54,68,236,884,7879,36625,30309,19596,9182,3949
09        ,900947,436770,212110,224660,464177,238218,225959,51674,26674,26674,0,25000,25000,0,56939,29212,29212,0,27727,27727,0,69579,35601,35601,0,33978,33978,0,15293,7726,7726,0,7567,7567,0,58818,30013,29731,282,28805,27542,1263,65808,33030,25533,7497,32778,18910,13868,61135,30607,11637,18970,30528,7957,22571,67753,34129,7662,26467,33624,5648,27976,58217,29252,4971,24281,28965,4200,24765,51607,25859,3979,21880,25748,3692,22056,49844,25052,3830,21222,24792,3844,20948,51722,25718,3879,21839,26004,4618,21386,54286,26365,3891,22474,27921,6445,21476,47935,22564,3497,19067,25371,7851,17520,45392,20717,3720,16997,24675,10603,14072,38912,16230,3665,12565,22682,12537,10145,28493,10578,3269,7309,17915,12590,5325,16553,4894,2117,2777,11659,9715,1944,10987,2549,1516,1033,8438,7794,644,51770,0,0,0,0,0,0,0,0,31,39,27,143,528,3271,16742,14258,9732,4598,2401
10        ,502164,250948,122741,128207,251216,123246,127970,36181,18496,18496,0,17685,17685,0,36426,18944,18944,0,17482,17482,0,42302,21844,21844,0,20458,20458,0,8715,4511,4511,0,4204,4204,0,34491,17721,17475,246,16770,15769,1001,38420,19225,13912,5313,19195,9206,9989,37884,19011,6008,13003,18873,3506,15367,41633,21034,3677,17357,20599,2533,18066,34470,17541,2465,15076,16929,1871,15058,30501,15875,1986,13889,14626,1732,12894,28645,14739,1811,12928,13906,1801,12105,27328,14055,1909,12146,13273,1992,11281,26429,13438,1928,11510,12991,2660,10331,21459,10675,1704,8971,10784,2853,7931,19905,9411,1689,7722,10494,4053,6441,16250,7238,1640,5598,9012,4723,4289,11060,4282,1300,2982,6778,4611,2167,6319,1969,859,1110,4350,3543,807,3746,939,583,356,2807,2564,243,22585,0,0,0,0,0,0,0,0,9,8,14,42,412,1813,7441,6247,3870,1854,875
