zoneid,81sas020050,81sas020051,81sas020052,81sas020053,81sas020054,81sas020055,81sas020056,81sas020057,81sas020058,81sas020059,81sas020060,81sas020061,81sas020062,81sas020063,81sas020064,81sas020065,81sas020066,81sas020067,81sas020068,81sas020069,81sas020070,81sas020071,81sas020072,81sas020073,81sas020074,81sas020075,81sas020076,81sas020077,81sas020078,81sas020079,81sas020080,81sas020081,81sas020082,81sas020083,81sas020084,81sas020085,81sas020086,81sas020087,81sas020088,81sas020089,81sas020090,81sas020091,81sas020092,81sas020093,81sas020094,81sas020095,81sas020096,81sas020097,81sas020098,81sas020099,81sas020100,81sas020101,81sas020102,81sas020103,81sas020104,81sas020105,81sas020106,81sas020107,81sas020108,81sas020109,81sas020110,81sas020111,81sas020112,81sas020113,81sas020114,81sas020115,81sas020116,81sas020117,81sas020118,81sas020119,81sas020120,81sas020121,81sas020122,81sas020123,81sas020124,81sas020125,81sas020126,81sas020127,81sas020128,81sas020129,81sas020130,81sas020131,81sas020132,81sas020133,81sas020134,81sas020135,81sas020136,81sas020137,81sas020138,81sas020139,81sas020140,81sas020141,81sas020142,81sas020143,81sas020144,81sas020145,81sas020146,81sas020147,81sas020148,81sas020149,81sas020150,81sas020151,81sas020152,81sas020153,81sas020154,81sas020155,81sas020156,81sas020157,81sas020158,81sas020159,81sas020160,81sas020161,81sas020162,81sas020163,81sas020164,81sas020165,81sas020166,81sas020167,81sas020168,81sas020169,81sas020170,81sas020171,81sas020172,81sas020173,81sas020174,81sas020175,81sas020176,81sas020177,81sas020178,81sas020179,81sas020180,81sas020181,81sas020182,81sas020183,81sas020184,81sas020185,81sas020186,81sas020187,81sas020188,81sas020189,81sas020190,81sas020191,81sas020192,81sas020193,81sas020194,81sas020195,81sas020196,81sas020197,81sas020198,81sas020199,81sas020200,81sas020201,81sas020202,81sas020203,81sas020204,81sas020205,81sas020206,81sas020207,81sas020208,81sas020209
11        ,670859,333731,165016,168715,337128,168460,168668,44006,22639,22639,0,21367,21367,0,46978,24300,24300,0,22678,22678,0,54833,28238,28238,0,26595,26595,0,11384,5908,5908,0,5476,5476,0,45633,23668,23406,262,21965,20807,1158,51847,26639,20684,5955,25208,13919,11289,50155,25732,10003,15729,24423,5631,18792,55716,28110,5904,22206,27606,3818,23788,46568,23526,3453,20073,23042,2834,20208,41327,21171,2848,18323,20156,2515,17641,38914,19736,2546,17190,19178,2551,16627,38198,19402,2427,16975,18796,2977,15819,36600,18336,2337,15999,18264,3953,14311,29715,14354,2074,12280,15361,4531,10830,26936,12531,2203,10328,14405,6004,8401,22140,9599,2209,7390,12541,6908,5633,15268,5805,1815,3990,9463,6659,2804,8680,2631,1150,1481,6049,5035,1014,5961,1406,872,534,4555,4202,353,27833,0,0,0,0,0,0,0,0,22,19,25,75,279,1459,9015,8015,5198,2430,1296
12        ,562221,278436,134715,143721,283785,140029,143756,38761,19965,19965,0,18796,18796,0,42412,21706,21706,0,20706,20706,0,47718,24504,24504,0,23214,23214,0,10068,5185,5185,0,4883,4883,0,38692,20055,19851,204,18637,17744,893,39327,19934,15365,4569,19393,10538,8855,38723,19001,6503,12498,19722,4031,15691,47546,23480,4023,19457,24066,2897,21169,41429,20786,2479,18307,20643,2153,18490,35821,18275,1969,16306,17546,1943,15603,33052,17017,1804,15213,16035,2000,14035,30920,15643,1734,13909,15277,2222,13055,29565,14883,1813,13070,14682,2979,11703,23714,11640,1467,10173,12074,3355,8719,21761,10051,1530,8521,11710,4581,7129,17998,7862,1620,6242,10136,5361,4775,12769,5028,1500,3528,7741,5270,2471,7092,2206,930,1276,4886,4018,868,4853,1215,767,448,3638,3338,300,23141,0,0,0,0,0,0,0,0,27,30,32,85,253,1184,7304,6594,4474,2034,1124
13        ,569893,282130,135265,146865,287763,140478,147285,37470,19236,19236,0,18234,18234,0,40987,21075,21075,0,19912,19912,0,45086,22934,22934,0,22152,22152,0,9310,4886,4886,0,4424,4424,0,37218,19311,19050,261,17907,16751,1156,42047,21523,15694,5829,20524,10269,10255,41354,20575,6901,13674,20779,4183,16596,46867,23476,4218,19258,23391,2929,20462,39222,19832,2680,17152,19390,2287,17103,33162,17041,2082,14959,16121,1866,14255,30902,15762,1931,13831,15140,1955,13185,31059,15654,2154,13500,15405,2358,13047,30763,15422,2178,13244,15341,3178,12163,26489,12659,1856,10803,13830,3802,10028,25749,12067,2082,9985,13682,5240,8442,22237,9858,2161,7697,12379,6426,5953,15597,6344,1921,4423,9253,6102,3151,8767,3014,1345,1669,5753,4610,1143,5607,1461,881,580,4146,3800,346,29438,0,0,0,0,0,0,0,0,14,17,24,63,224,1434,9232,8512,5728,2814,1376
14        ,921623,451460,218673,232787,470163,236522,233641,56470,29055,29055,0,27415,27415,0,65595,33670,33670,0,31925,31925,0,79299,40764,40764,0,38535,38535,0,16856,8644,8644,0,8212,8212,0,63796,32512,32081,431,31284,29768,1516,63231,31986,23777,8209,31245,17010,14235,59553,29961,10038,19923,29592,6119,23473,71877,35637,6409,29228,36240,4607,31633,62884,31560,4296,27264,31324,3556,27768,57119,28766,3479,25287,28353,3414,24939,52438,26485,3332,23153,25953,3480,22473,53858,26956,3548,23408,26902,4351,22551,52815,25999,3664,22335,26816,5952,20864,45310,21633,3242,18391,23677,7149,16528,41702,18893,3435,15458,22809,9651,13158,34327,14468,3461,11007,19859,11359,8500,23637,8709,2849,5860,14928,10752,4176,13112,3889,1762,2127,9223,7809,1414,7744,1873,1167,706,5871,5458,413,45196,0,0,0,0,0,0,0,0,43,35,31,140,584,3049,15238,12750,7964,3622,1740
15        ,565845,278637,142144,136493,287208,149891,137317,38295,19512,19512,0,18783,18783,0,41010,21259,21259,0,19751,19751,0,49741,25281,25281,0,24460,24460,0,10691,5410,5410,0,5281,5281,0,41821,21081,20757,324,20740,19535,1205,45449,23099,16026,7073,22350,11252,11098,40091,20148,6311,13837,19943,4366,15577,42306,21489,4167,17322,20817,2899,17918,33743,17222,2707,14515,16521,2066,14455,32947,16490,2496,13994,16457,2170,14287,32074,16071,2540,13531,16003,2330,13673,33039,16761,2809,13952,16278,2974,13304,32938,16201,2826,13375,16737,4101,12636,26634,12898,2375,10523,13736,4598,9138,22843,10297,2249,8048,12546,5852,6694,18412,7748,2144,5604,10664,6483,4181,12846,4675,1650,3025,8171,6003,2168,7030,2075,1009,1066,4955,4184,771,3935,920,616,304,3015,2803,212,25231,0,0,0,0,0,0,0,0,14,13,22,73,413,1858,8654,7004,4349,1951,880
16        ,418631,201675,92887,108788,216956,107261,109695,23313,11981,11981,0,11332,11332,0,26821,13618,13618,0,13203,13203,0,31706,16106,16106,0,15600,15600,0,6629,3381,3381,0,3248,3248,0,25646,13859,13714,145,11787,11109,678,24807,12690,9621,3069,12117,6134,5983,24064,11772,3976,7796,12292,2584,9708,30278,14900,2852,12048,15378,2154,13224,27534,13692,2069,11623,13842,1864,11978,23488,11750,1589,10161,11738,1627,10111,22943,11450,1526,9924,11493,1684,9809,24023,11698,1569,10129,12325,2246,10079,25511,11986,1687,10299,13525,3104,10421,24414,11092,1529,9563,13322,4014,9308,25603,11667,1854,9813,13936,5701,8235,22164,9595,1979,7616,12569,6798,5771,15536,6093,1780,4313,9443,6439,3004,8828,2949,1247,1702,5879,4838,1041,5323,1396,809,587,3927,3582,345,30916,0,0,0,0,0,0,0,0,9,20,28,121,419,2292,9580,8667,5662,2795,1323
17        ,471696,229685,110770,118915,242011,122333,119678,26359,13602,13602,0,12757,12757,0,30829,15853,15853,0,14976,14976,0,37375,19063,19063,0,18312,18312,0,7693,3921,3921,0,3772,3772,0,30503,15673,15475,198,14830,14079,751,32569,16819,12496,4323,15750,8305,7445,29423,14829,5162,9667,14594,3098,11496,34551,17504,3468,14036,17047,2254,14793,29182,14741,2339,12402,14441,1715,12726,27505,13846,1994,11852,13659,1728,11931,26427,13298,1925,11373,13129,1912,11217,28356,14010,2238,11772,14346,2666,11680,29004,13907,2316,11591,15097,3621,11476,27124,12756,2316,10440,14368,4668,9700,25071,11416,2284,9132,13655,6072,7583,21313,8989,2276,6713,12324,7202,5122,15034,5542,1965,3577,9492,6908,2584,8374,2623,1231,1392,5751,4848,903,5004,1293,846,447,3711,3440,271,28526,0,0,0,0,0,0,0,0,19,8,28,74,282,2050,9273,8004,5102,2482,1204
18        ,901831,443999,208728,235271,457832,221856,235976,53143,27188,27188,0,25955,25955,0,60667,31219,31219,0,29448,29448,0,72503,37281,37281,0,35222,35222,0,15140,7642,7642,0,7498,7498,0,57528,29279,28834,445,28249,26402,1847,62343,31549,22390,9159,30794,14730,16064,59098,29990,9441,20549,29108,5443,23665,68501,34634,6438,28196,33867,4019,29848,60310,30734,4604,26130,29576,3341,26235,52229,26522,3661,22861,25707,3014,22693,50571,25608,3417,22191,24963,3056,21907,52824,26409,3863,22546,26415,4006,22409,55770,27936,4082,23854,27834,5675,22159,48758,23608,3625,19983,25150,7101,18049,44887,20779,3920,16859,24108,9780,14328,37935,16428,3972,12456,21507,11872,9635,26493,10331,3535,6796,16162,11265,4897,14683,4723,2230,2493,9960,8224,1736,8448,2139,1386,753,6309,5805,504,53812,0,0,0,0,0,0,0,0,33,26,40,125,430,4863,17479,14676,9622,4478,2040
19        ,930112,445117,206729,238388,484995,245044,239951,49427,25314,25314,0,24113,24113,0,56715,29024,29024,0,27691,27691,0,68672,34995,34995,0,33677,33677,0,14479,7455,7455,0,7024,7024,0,57540,29765,29432,333,27775,26183,1592,61670,31917,23612,8305,29753,15464,14289,55488,27725,9957,17768,27763,6451,21312,64011,31946,6660,25286,32065,4889,27176,57215,28647,4604,24043,28568,4046,24522,50247,24936,3531,21405,25311,3726,21585,49064,24185,3384,20801,24879,4088,20791,51842,25210,3583,21627,26632,4974,21658,55632,25792,3655,22137,29840,7208,22632,53903,24571,3604,20967,29332,8982,20350,57087,25516,4129,21387,31571,12910,18661,52154,22001,4584,17417,30153,16238,13915,38808,15140,4222,10918,23668,16029,7639,21829,7258,2867,4391,14571,11670,2901,14329,3720,2117,1603,10609,9681,928,70134,0,0,0,0,0,0,0,0,39,42,75,272,821,4448,20417,19634,14064,6836,3486
20        ,578993,273965,123496,150469,305028,153318,151710,28494,14757,14757,0,13737,13737,0,32889,16878,16878,0,16011,16011,0,39876,20289,20289,0,19587,19587,0,8608,4375,4375,0,4233,4233,0,34233,17726,17591,135,16507,15686,821,36352,18549,14390,4159,17803,9887,7916,32817,16581,6350,10231,16236,3912,12324,38560,19022,4137,14885,19538,3141,16397,34485,17248,2848,14400,17237,2471,14766,30521,15237,2258,12979,15284,2315,12969,30578,14969,2079,12890,15609,2475,13134,32728,15719,2177,13542,17009,3262,13747,35643,16509,2241,14268,19134,4487,14647,35182,15718,2107,13611,19464,5935,13529,39718,17554,2451,15103,22164,8888,13276,36409,15222,2813,12409,21187,11085,10102,26487,10160,2544,7616,16327,10981,5346,15266,4944,1892,3052,10322,8247,2075,10147,2508,1319,1189,7639,6978,661,47231,0,0,0,0,0,0,0,0,17,25,35,135,462,2776,13906,13438,9452,4650,2335
21        ,598881,293077,140820,152257,305804,152821,152983,35947,18489,18489,0,17458,17458,0,39651,20282,20282,0,19369,19369,0,48275,24801,24801,0,23474,23474,0,10248,5225,5225,0,5023,5023,0,39375,19924,19497,427,19451,18091,1360,43056,21610,14589,7021,21446,10221,11225,40103,20395,6180,14215,19708,3990,15718,44884,22477,4057,18420,22407,2933,19474,37484,18940,2857,16083,18544,2213,16331,35214,17803,2651,15152,17411,2140,15271,34416,17287,2625,14662,17129,2337,14792,35980,17788,2953,14835,18192,3223,14969,37476,18575,3232,15343,18901,4493,14408,31866,15131,2921,12210,16735,5543,11192,29207,13205,2973,10232,16002,7432,8570,24806,10626,2828,7798,14180,8400,5780,17058,6425,2378,4047,10633,7867,2766,8950,2791,1400,1391,6159,5261,898,4885,1303,882,421,3582,3353,229,34020,0,0,0,0,0,0,0,0,15,21,30,113,417,2813,11133,9641,5992,2640,1205
22        ,641016,294700,137162,157538,346316,186751,159565,30409,15715,15715,0,14694,14694,0,33932,17384,17384,0,16548,16548,0,41861,21503,21503,0,20358,20358,0,9034,4526,4526,0,4508,4508,0,35549,17889,17709,180,17660,16862,798,38787,19638,15644,3994,19149,11755,7394,35968,17676,7748,9928,18292,5548,12744,42800,21145,5255,15890,21655,4321,17334,36582,18054,3525,14529,18528,3381,15147,32639,15972,2863,13109,16667,3155,13512,31969,15565,2532,13033,16404,3322,13082,34341,16048,2693,13355,18293,4329,13964,38199,17315,2849,14466,20884,5988,14896,39146,17073,2760,14313,22073,7776,14297,45334,19270,3352,15918,26064,11707,14357,44349,17745,3662,14083,26604,14958,11646,34606,12456,3269,9187,22150,15389,6761,21069,6297,2342,3955,14772,12095,2677,14442,3429,1831,1598,11013,10057,956,53859,0,0,0,0,0,0,0,0,23,29,61,193,565,2784,14549,15249,11322,5896,3188
23        ,1461890,713793,333639,380154,748097,365319,382778,91165,46701,46701,0,44464,44464,0,102549,52855,52855,0,49694,49694,0,117882,60636,60636,0,57246,57246,0,24455,12435,12435,0,12020,12020,0,92962,47712,47278,434,45250,42960,2290,100632,51128,38330,12798,49504,25539,23965,97227,48431,15847,32584,48796,9519,39277,119479,59126,9924,49202,60353,7209,53144,99265,49789,6315,43474,49476,5711,43765,85261,42678,4959,37719,42583,5024,37559,81356,41037,4622,36415,40319,5240,35079,83714,41469,4806,36663,42245,6663,35582,84162,41126,4819,36307,43036,8897,34139,73134,34732,4442,30290,38402,10860,27542,69672,32033,4929,27104,37639,14820,22819,58431,24879,4985,19894,33552,18043,15509,41320,15830,4574,11256,25490,17469,8021,23951,7498,3054,4444,16453,13387,3066,15273,3698,2128,1570,11575,10554,1021,77430,0,0,0,0,0,0,0,0,40,42,63,173,662,4268,25399,21777,14531,7024,3451
24        ,493166,240057,114917,125140,253109,127293,125816,28527,14511,14511,0,14016,14016,0,32463,16661,16661,0,15802,15802,0,39785,20411,20411,0,19374,19374,0,8574,4383,4383,0,4191,4191,0,32613,16532,16391,141,16081,15281,800,33530,17005,13165,3840,16525,9047,7478,31401,15746,5777,9969,15655,3438,12217,36874,18321,3638,14683,18553,2522,16031,32829,16458,2496,13962,16371,2154,14217,28775,14737,2056,12681,14038,1780,12258,27089,13604,1924,11680,13485,1978,11507,28214,13931,1955,11976,14283,2472,11811,30030,14663,2106,12557,15367,3389,11978,26029,12279,1729,10550,13750,4203,9547,25398,11528,2019,9509,13870,5699,8171,21547,9340,2002,7338,12207,6653,5554,14980,5824,1716,4108,9156,6308,2848,8897,2762,1167,1595,6135,5049,1086,5611,1361,810,551,4250,3937,313,28399,0,0,0,0,0,0,0,0,11,15,21,72,232,1607,9140,8123,5309,2596,1273
25        ,1442598,711278,346533,364745,731320,365137,366183,88763,45575,45575,0,43188,43188,0,99079,51032,51032,0,48047,48047,0,116371,59912,59912,0,56459,56459,0,24666,12678,12678,0,11988,11988,0,102006,54632,53983,649,47374,44431,2943,109023,57512,42195,15317,51511,25405,26106,98362,50062,17221,32841,48300,10156,38144,113173,56636,10703,45933,56537,7645,48892,97845,49220,7151,42069,48625,6289,42336,84478,42614,5657,36957,41864,5487,36377,79300,40004,5226,34778,39296,5798,33498,79129,39566,5310,34256,39563,6785,32778,78560,37784,5370,32414,40776,9037,31739,70015,32974,4674,28300,37041,11127,25914,65861,29866,4990,24876,35995,14951,21044,56676,24312,5184,19128,32364,17627,14737,40553,15638,4507,11131,24915,17144,7771,23308,7457,2972,4485,15851,12903,2948,15430,3804,2193,1611,11626,10670,956,75215,0,0,0,0,0,0,0,0,32,32,50,174,639,4408,23721,21255,14340,6989,3575
26        ,624393,306519,146470,160049,317874,157408,160466,39274,20090,20090,0,19184,19184,0,44167,22819,22819,0,21348,21348,0,51397,26359,26359,0,25038,25038,0,10541,5328,5328,0,5213,5213,0,39617,20189,19933,256,19428,18365,1063,41237,20673,15498,5175,20564,10555,10009,41702,20744,7076,13668,20958,4267,16691,50202,25351,4885,20466,24851,3279,21572,44295,22420,3315,19105,21875,2633,19242,37434,19101,2540,16561,18333,2263,16070,34703,17586,2306,15280,17117,2315,14802,34908,17529,2394,15135,17379,2769,14610,35734,17426,2562,14864,18308,4093,14215,31139,14847,2170,12677,16292,4846,11446,30028,13895,2393,11502,16133,6609,9524,24666,10766,2488,8278,13900,7402,6498,17329,6865,2103,4762,10464,7281,3183,9883,3076,1317,1759,6807,5606,1201,6137,1455,894,561,4682,4342,340,32691,0,0,0,0,0,0,0,0,14,13,26,65,276,1904,10834,9145,6194,2858,1362
