zoneid,81sas020050,81sas020051,81sas020052,81sas020053,81sas020054,81sas020055,81sas020056,81sas020057,81sas020058,81sas020059,81sas020060,81sas020061,81sas020062,81sas020063,81sas020064,81sas020065,81sas020066,81sas020067,81sas020068,81sas020069,81sas020070,81sas020071,81sas020072,81sas020073,81sas020074,81sas020075,81sas020076,81sas020077,81sas020078,81sas020079,81sas020080,81sas020081,81sas020082,81sas020083,81sas020084,81sas020085,81sas020086,81sas020087,81sas020088,81sas020089,81sas020090,81sas020091,81sas020092,81sas020093,81sas020094,81sas020095,81sas020096,81sas020097,81sas020098,81sas020099,81sas020100,81sas020101,81sas020102,81sas020103,81sas020104,81sas020105,81sas020106,81sas020107,81sas020108,81sas020109,81sas020110,81sas020111,81sas020112,81sas020113,81sas020114,81sas020115,81sas020116,81sas020117,81sas020118,81sas020119,81sas020120,81sas020121,81sas020122,81sas020123,81sas020124,81sas020125,81sas020126,81sas020127,81sas020128,81sas020129,81sas020130,81sas020131,81sas020132,81sas020133,81sas020134,81sas020135,81sas020136,81sas020137,81sas020138,81sas020139,81sas020140,81sas020141,81sas020142,81sas020143,81sas020144,81sas020145,81sas020146,81sas020147,81sas020148,81sas020149,81sas020150,81sas020151,81sas020152,81sas020153,81sas020154,81sas020155,81sas020156,81sas020157,81sas020158,81sas020159,81sas020160,81sas020161,81sas020162,81sas020163,81sas020164,81sas020165,81sas020166,81sas020167,81sas020168,81sas020169,81sas020170,81sas020171,81sas020172,81sas020173,81sas020174,81sas020175,81sas020176,81sas020177,81sas020178,81sas020179,81sas020180,81sas020181,81sas020182,81sas020183,81sas020184,81sas020185,81sas020186,81sas020187,81sas020188,81sas020189,81sas020190,81sas020191,81sas020192,81sas020193,81sas020194,81sas020195,81sas020196,81sas020197,81sas020198,81sas020199,81sas020200,81sas020201,81sas020202,81sas020203,81sas020204,81sas020205,81sas020206,81sas020207,81sas020208,81sas020209
20GJ      ,45778,22128,10076,12052,23650,11532,12118,2769,1448,1448,0,1321,1321,0,3033,1547,1547,0,1486,1486,0,3372,1699,1699,0,1673,1673,0,670,334,334,0,336,336,0,2632,1332,1322,10,1300,1219,81,2802,1462,1107,355,1340,660,680,2826,1422,505,917,1404,238,1166,3469,1761,323,1438,1708,183,1525,2855,1431,184,1247,1424,137,1287,2426,1243,137,1106,1183,147,1036,2243,1131,166,965,1112,165,947,2326,1109,148,961,1217,217,1000,2519,1158,160,998,1361,315,1046,2654,1196,159,1037,1458,421,1037,3061,1351,190,1161,1710,648,1062,2686,1205,208,997,1481,752,729,1869,804,211,593,1065,704,361,976,326,139,187,650,529,121,590,169,89,80,421,381,40,3595,0,0,0,0,0,0,0,0,0,0,1,10,44,207,1056,1065,743,308,161
20GK      ,117127,55786,25307,30479,61341,30605,30736,6149,3184,3184,0,2965,2965,0,7217,3680,3680,0,3537,3537,0,8450,4420,4420,0,4030,4030,0,1841,930,930,0,911,911,0,7020,3630,3603,27,3390,3221,169,7784,3869,2883,986,3915,2093,1822,7063,3564,1271,2293,3499,809,2690,8175,3996,847,3149,4179,646,3533,7389,3674,577,3097,3715,520,3195,6553,3310,456,2854,3243,477,2766,6384,3141,397,2744,3243,527,2716,6665,3226,419,2807,3439,620,2819,6925,3266,405,2861,3659,852,2807,6644,2978,369,2609,3666,1118,2548,7182,3116,413,2703,4066,1613,2453,6540,2730,488,2242,3810,2002,1808,4745,1797,423,1374,2948,2013,935,2657,864,332,532,1793,1434,359,1744,411,210,201,1333,1217,116,8297,0,0,0,0,0,0,0,0,4,7,4,37,82,476,2437,2397,1669,812,372
20GL      ,39194,19358,9069,10289,19836,9600,10236,2251,1131,1131,0,1120,1120,0,2518,1273,1273,0,1245,1245,0,2917,1522,1522,0,1395,1395,0,596,315,315,0,281,281,0,2750,1607,1597,10,1143,1074,69,2587,1410,1074,336,1177,565,612,2463,1266,422,844,1197,215,982,2955,1474,256,1218,1481,195,1286,2510,1295,174,1121,1215,147,1068,1996,1019,131,888,977,124,853,2018,980,117,863,1038,122,916,2201,1103,163,940,1098,176,922,2269,1078,144,934,1191,250,941,2147,992,120,872,1155,327,828,2291,1064,156,908,1227,486,741,2016,869,157,712,1147,570,577,1421,569,143,426,852,538,314,788,267,106,161,521,419,102,500,124,68,56,376,351,25,2698,0,0,0,0,0,0,0,0,1,3,4,3,23,194,809,762,531,251,117
20GM      ,76620,36579,16577,20002,40041,19916,20125,3711,1956,1956,0,1755,1755,0,4606,2362,2362,0,2244,2244,0,5481,2752,2752,0,2729,2729,0,1252,652,652,0,600,600,0,4448,2308,2290,18,2140,2031,109,4341,2299,1858,441,2042,1109,933,4093,2068,827,1241,2025,459,1566,4839,2413,494,1919,2426,349,2077,4650,2309,382,1927,2341,309,2032,4110,2083,297,1786,2027,285,1742,4214,2053,280,1773,2161,304,1857,4434,2140,293,1847,2294,415,1879,4833,2232,332,1900,2601,623,1978,4844,2139,269,1870,2705,846,1859,5414,2444,347,2097,2970,1192,1778,4841,2073,382,1691,2768,1434,1334,3319,1358,388,970,1961,1304,657,1867,623,243,380,1244,998,246,1323,315,173,142,1008,930,78,6353,0,0,0,0,0,0,0,0,4,3,3,15,74,406,1925,1817,1244,573,289
20GN      ,55124,26996,12725,14271,28128,13827,14301,2961,1503,1503,0,1458,1458,0,3472,1795,1795,0,1677,1677,0,4105,2079,2079,0,2026,2026,0,818,428,428,0,390,390,0,3571,1938,1923,15,1633,1526,107,4046,2141,1539,602,1905,918,987,3631,1916,680,1236,1715,346,1369,4013,2043,450,1593,1970,312,1658,3540,1788,300,1488,1752,232,1520,2936,1499,224,1275,1437,207,1230,2874,1427,209,1218,1447,200,1247,3041,1503,214,1289,1538,283,1255,3286,1533,203,1330,1753,379,1374,3085,1409,217,1192,1676,478,1198,3237,1513,226,1287,1724,689,1035,2741,1175,239,936,1566,805,761,1937,752,226,526,1185,813,372,1104,372,163,209,732,590,142,726,182,107,75,544,498,46,3905,0,0,0,0,0,0,0,0,2,4,1,12,30,255,1288,1076,713,354,170
20GP      ,67659,32411,13179,19232,35248,15815,19433,3597,1889,1889,0,1708,1708,0,4006,2062,2062,0,1944,1944,0,4909,2473,2473,0,2436,2436,0,988,513,513,0,475,475,0,3632,1850,1841,9,1782,1727,55,3477,1750,1359,391,1727,879,848,3534,1680,514,1166,1854,346,1508,4950,2360,371,1989,2590,318,2272,4479,2234,224,2010,2245,214,2031,3876,1902,170,1732,1974,232,1742,3650,1815,180,1635,1835,229,1606,3672,1795,172,1623,1877,299,1578,3969,1856,172,1684,2113,357,1756,4146,1834,181,1653,2312,533,1779,5006,2322,215,2107,2684,820,1864,4329,1944,273,1671,2385,1063,1322,2955,1274,242,1032,1681,956,725,1564,587,201,386,977,714,263,920,271,127,144,649,565,84,6224,0,0,0,0,0,0,0,0,2,1,4,16,73,413,1932,1747,1223,558,255
21GQ      ,51659,25338,11565,13773,26321,12469,13852,3303,1670,1670,0,1633,1633,0,3535,1819,1819,0,1716,1716,0,4274,2155,2155,0,2119,2119,0,853,448,448,0,405,405,0,3254,1702,1667,35,1552,1431,121,3779,1826,1117,709,1953,803,1150,3913,1965,435,1530,1948,321,1627,4275,2117,304,1813,2158,248,1910,3601,1791,199,1592,1810,174,1636,3290,1673,187,1486,1617,148,1469,2972,1501,154,1347,1471,166,1305,2905,1429,208,1221,1476,242,1234,2993,1510,219,1291,1483,332,1151,2458,1161,207,954,1297,424,873,2204,987,220,767,1217,538,679,1846,805,214,591,1041,616,425,1228,478,170,308,750,549,201,655,214,112,102,441,389,52,321,87,60,27,234,215,19,2583,0,0,0,0,0,0,0,0,0,0,2,12,26,223,836,752,445,201,86
21GR      ,97219,47287,23108,24179,49932,25602,24330,5831,3028,3028,0,2803,2803,0,6356,3232,3232,0,3124,3124,0,7664,3935,3935,0,3729,3729,0,1641,815,815,0,826,826,0,6283,3113,3051,62,3170,2972,198,6956,3484,2485,999,3472,1805,1667,6434,3288,1120,2168,3146,722,2424,7270,3638,742,2896,3632,532,3100,5860,3002,537,2465,2858,387,2471,5684,2863,449,2414,2821,389,2432,5403,2749,462,2287,2654,435,2219,5852,2906,545,2361,2946,548,2398,6152,2981,528,2453,3171,762,2409,5262,2495,472,2023,2767,932,1835,4862,2192,478,1714,2670,1252,1418,4189,1733,448,1285,2456,1409,1047,2954,1097,372,725,1857,1362,495,1590,493,243,250,1097,927,170,976,243,166,77,733,686,47,5349,0,0,0,0,0,0,0,0,3,6,7,19,47,276,1788,1520,1010,458,215
21GS      ,87576,42671,20487,22184,44905,22627,22278,4994,2549,2549,0,2445,2445,0,5651,2843,2843,0,2808,2808,0,6889,3525,3525,0,3364,3364,0,1475,755,755,0,720,720,0,5482,2837,2785,52,2645,2470,175,5977,2994,2019,975,2983,1421,1562,5625,2843,883,1960,2782,574,2208,6348,3216,607,2609,3132,413,2719,5364,2727,433,2294,2637,329,2308,5145,2620,449,2171,2525,296,2229,5020,2501,423,2078,2519,329,2190,5210,2578,454,2124,2632,485,2147,5674,2809,565,2244,2865,743,2122,4998,2337,474,1863,2661,896,1765,4717,2140,496,1644,2577,1227,1350,4049,1731,460,1271,2318,1404,914,2745,1006,384,622,1739,1329,410,1415,441,236,205,974,838,136,798,219,147,72,579,536,43,5524,0,0,0,0,0,0,0,0,2,4,5,12,81,388,1856,1600,954,421,201
21GT      ,82183,40340,19090,21250,41843,20537,21306,5059,2627,2627,0,2432,2432,0,5480,2758,2758,0,2722,2722,0,6564,3427,3427,0,3137,3137,0,1429,745,745,0,684,684,0,5159,2588,2558,30,2571,2455,116,5824,2969,2146,823,2855,1485,1370,5824,2950,912,2038,2874,562,2312,6925,3465,582,2883,3460,401,3059,5665,2909,394,2515,2756,272,2484,5038,2509,329,2180,2529,323,2206,4777,2410,316,2094,2367,312,2055,4824,2380,357,2023,2444,412,2032,4818,2381,363,2018,2437,562,1875,3993,1917,376,1541,2076,667,1409,3732,1645,346,1299,2087,998,1089,3122,1334,318,1016,1788,1016,772,2157,796,255,541,1361,981,380,1122,347,154,193,775,651,124,671,183,127,56,488,465,23,4297,0,0,0,0,0,0,0,0,0,1,2,15,35,401,1384,1206,746,336,171
